Ackerman,No,
Adams,Aye,
Aderholt,Aye,
Akin,Not Voting,
Alexander,Aye,
Altmire,Aye,
Amash,Aye,
Andrews,Aye,
Austria,Aye,
Baca,Not Voting,
Bachmann,Not Voting,
Bachus,Aye,
Baldwin,Aye,
Barletta,Aye,
Barrow,Aye,
Bartlett,Aye,
Barton (TX),Aye,
Bass (CA),No,
Bass (NH),Aye,
Becerra,No,
Benishek,Aye,
Berg,Aye,
Berkley,No,
Berman,No,
Biggert,Aye,
Bilbray,Aye,
Bilirakis,Aye,
Bishop (GA),Not Voting,
Bishop (NY),Aye,
Bishop (UT),Aye,
Black,Not Voting,
Blackburn,Aye,
Blumenauer,Not Voting,
Bonner,Aye,
Bono Mack,Aye,
Boren,Aye,
Boswell,Aye,
Boustany,Aye,
Brady (PA),No,
Brady (TX),Aye,
Braley (IA),Aye,
Brooks,Aye,
Broun (GA),Aye,
Brown (FL),No,
Buchanan,Aye,
Bucshon,Aye,
Buerkle,Aye,
Burgess,Aye,
Burton (IN),Aye,
Butterfield,Not Voting,
Calvert,Aye,
Camp,Aye,
Campbell,Aye,
Canseco,Aye,
Cantor,Aye,
Capito,Aye,
Capps,No,
Capuano,No,
Cardoza,Aye,
Carnahan,No,
Carney,Aye,
Carson (IN),No,
Carter,Aye,
Cassidy,Aye,
Castor (FL),Not Voting,
Chabot,Aye,
Chaffetz,Aye,
Chandler,Aye,
Chu,No,
Cicilline,No,
Clarke (MI),No,
Clarke (NY),No,
Clay,No,
Cleaver,No,
Clyburn,No,
Coble,Aye,
Coffman (CO),Aye,
Cohen,No,
Cole,Aye,
Conaway,Aye,
Connolly (VA),Aye,
Conyers,No,
Cooper,Aye,
Costa,Aye,
Costello,Aye,
Courtney,Aye,
Cravaack,Aye,
Crawford,Aye,
Crenshaw,Aye,
Critz,Aye,
Crowley,No,
Cuellar,Aye,
Culberson,Aye,
Cummings,No,
Davis (CA),Aye,
Davis (IL),Not Voting,
Davis (KY),Aye,
DeFazio,Aye,
DeGette,No,
DeLauro,Aye,
Denham,Aye,
Dent,Aye,
DesJarlais,Aye,
Deutch,Aye,
Diaz-Balart,Aye,
Dicks,No,
Dingell,No,
Doggett,No,
Dold,No,
Donnelly (IN),Aye,
Doyle,Aye,
Dreier,Aye,
Duffy,Aye,
Duncan (SC),Aye,
Duncan (TN),Aye,
Edwards,No,
Ellison,Not Voting,
Ellmers,Aye,
Emerson,Aye,
Engel,No,
Eshoo,Aye,
Farenthold,Aye,
Farr,No,
Fattah,No,
Filner,No,
Fincher,Aye,
Fitzpatrick,Aye,
Flake,Aye,
Fleischmann,Aye,
Fleming,Aye,
Flores,Aye,
Forbes,Aye,
Fortenberry,Aye,
Foxx,Aye,
Frank (MA),No,
Franks (AZ),Aye,
Frelinghuysen,Aye,
Fudge,No,
Gallegly,Aye,
Garamendi,No,
Gardner,Aye,
Garrett,Aye,
Gerlach,Aye,
Gibbs,Aye,
Gibson,Aye,
Giffords,Not Voting,
