Ackerman,Yea,
Adams,Nay,
Aderholt,Nay,
Akin,Nay,
Alexander,Nay,
Altmire,Yea,
Amash,Nay,
Amodei,Nay,
Andrews,Yea,
Austria,Not Voting,
Baca,Yea,
Bachmann,Not Voting,
Bachus,Nay,
Baldwin,Yea,
Barletta,Nay,
Barrow,Yea,
Bartlett,Nay,
Barton (TX),Nay,
Bass (CA),Yea,
Bass (NH),Yea,
Becerra,Yea,
Benishek,Nay,
Berg,Nay,
Berkley,Yea,
Berman,Yea,
Biggert,Nay,
Bilbray,Nay,
Bilirakis,Nay,
Bishop (GA),Yea,
Bishop (NY),Yea,
Bishop (UT),Nay,
Black,Nay,
Blackburn,Nay,
Blumenauer,Yea,
Bonner,Nay,
Bono Mack,Nay,
Boren,Yea,
Boswell,Yea,
Boustany,Nay,
Brady (PA),Yea,
Brady (TX),Nay,
Braley (IA),Yea,
Brooks,Nay,
Broun (GA),Nay,
Brown (FL),Yea,
Buchanan,Nay,
Bucshon,Nay,
Buerkle,Nay,
Burgess,Nay,
Burton (IN),Nay,
Butterfield,Yea,
Calvert,Nay,
Camp,Nay,
Campbell,Nay,
Canseco,Nay,
Cantor,Nay,
Capito,Nay,
Capps,Yea,
Capuano,Yea,
Cardoza,Yea,
Carnahan,Yea,
Carney,Yea,
Carson (IN),Yea,
Carter,Nay,
Cassidy,Nay,
Castor (FL),Yea,
Chabot,Nay,
Chaffetz,Nay,
Chandler,Yea,
Chu,Yea,
Cicilline,Yea,
Clarke (MI),Yea,
Clarke (NY),Yea,
Clay,Yea,
Cleaver,Yea,
Clyburn,Yea,
Coble,Not Voting,
Coffman (CO),Nay,
Cohen,Yea,
Cole,Nay,
Conaway,Nay,
Connolly (VA),Yea,
Conyers,Yea,
Cooper,Yea,
Costa,Yea,
Costello,Yea,
Courtney,Yea,
Cravaack,Nay,
Crawford,Nay,
Crenshaw,Nay,
Critz,Yea,
Crowley,Yea,
Cuellar,Yea,
Culberson,Nay,
Cummings,Yea,
Davis (CA),Yea,
Davis (IL),Yea,
Davis (KY),Nay,
DeFazio,Nay,
DeGette,Yea,
DeLauro,Yea,
Denham,Nay,
Dent,Nay,
DesJarlais,Nay,
Deutch,Yea,
Diaz-Balart,Not Voting,
Dicks,Yea,
Dingell,Yea,
Doggett,Yea,
Dold,Nay,
Donnelly (IN),Yea,
Doyle,Yea,
Dreier,Nay,
Duffy,Nay,
Duncan (SC),Nay,
Duncan (TN),Nay,
Edwards,Yea,
Ellison,Yea,
Ellmers,Nay,
Emerson,Nay,
Engel,Yea,
Eshoo,Yea,
Farenthold,Nay,
Farr,Yea,
Fattah,Yea,
Filner,Not Voting,
Fincher,Nay,
Fitzpatrick,Nay,
Flake,Nay,
Fleischmann,Nay,
Fleming,Nay,
Flores,Nay,
Forbes,Nay,
Fortenberry,Nay,
Foxx,Nay,
Frank (MA),Yea,
Franks (AZ),Nay,
Frelinghuysen,Nay,
Fudge,Yea,
Gallegly,Nay,
Garamendi,Yea,
Gardner,Nay,
Garrett,Nay,
Gerlach,Nay,
Gibbs,Nay,
Gibson,Nay,
Giffords,Not Voting,
Gingrey (GA),Nay,
Gohmert,Nay,
Gonzalez,Yea,
Goodlatte,Nay,
Gosar,Nay,
Gowdy,Nay,
Granger,Nay,
Graves (GA),Nay,
Graves (MO),Nay,
Green, Al,Yea
Green, Gene,Yea
Griffin (AR),Nay,
Griffith (VA),Nay,
Grijalva,Yea,
Grimm,Nay,
Guinta,Nay,
Guthrie,Nay,
Gutierrez,Yea,
Hahn,Yea,
Hall,Nay,
Hanabusa,Yea,
Hanna,Nay,
Harper,Nay,
Harris,Nay,
Hartzler,Nay,
Hastings (FL),Yea,
Hastings (WA),Nay,
Hayworth,Nay,
Heck,Nay,
Heinrich,Yea,
Hensarling,Nay,
Herger,Nay,
Herrera Beutler,Nay,
Higgins,Yea,
Himes,Yea,
Hinchey,Yea,
Hinojosa,Yea,
Hirono,Yea,
Hochul,Yea,
Holden,Yea,
Holt,Yea,
Honda,Yea,
Hoyer,Yea,
Huelskamp,Nay,
Huizenga (MI),Nay,
Hultgren,Nay,
