Ackerman,Aye,
Adams,Aye,
Aderholt,No,
Akin,Aye,
Alexander,Aye,
Altmire,Aye,
Amash,No,
Andrews,Aye,
Austria,Aye,
Baca,No,
Bachmann,Aye,
Bachus,Aye,
Baldwin,No,
Barletta,Aye,
Barrow,Aye,
Bartlett,Aye,
Barton (TX),Aye,
Bass (CA),No,
Bass (NH),Aye,
Becerra,No,
Benishek,Aye,
Berg,Aye,
Berkley,Aye,
Berman,Aye,
Biggert,Aye,
Bilbray,No,
Bilirakis,No,
Bishop (GA),Aye,
Bishop (NY),No,
Bishop (UT),Aye,
Black,Aye,
Blackburn,Aye,
Blumenauer,Aye,
Bonner,No,
Bono Mack,Aye,
Boren,Aye,
Boswell,Aye,
Boustany,Aye,
Brady (PA),Aye,
Brady (TX),Aye,
Braley (IA),Aye,
Brooks,Aye,
Broun (GA),Aye,
Brown (FL),Aye,
Buchanan,Aye,
Bucshon,Aye,
Buerkle,Aye,
Burgess,Aye,
Burton (IN),Aye,
Butterfield,No,
Calvert,Aye,
Camp,Aye,
Campbell,Aye,
Canseco,Aye,
Cantor,No,
Capito,Aye,
Capps,Aye,
Capuano,No,
Cardoza,No,
Carnahan,No,
Carney,Aye,
Carson (IN),Aye,
Carter,Aye,
Cassidy,Aye,
Castor (FL),No,
Chabot,Aye,
Chaffetz,Not Voting,
Chandler,Aye,
Chu,No,
Cicilline,Aye,
Clarke (MI),Aye,
Clarke (NY),No,
Clay,Aye,
Cleaver,Aye,
Clyburn,No,
Coble,Aye,
Coffman (CO),Aye,
Cohen,Aye,
Cole,Aye,
Conaway,Aye,
Connolly (VA),No,
Conyers,No,
Cooper,Aye,
Costa,No,
Costello,Aye,
Courtney,Aye,
Cravaack,Aye,
Crawford,Aye,
Crenshaw,No,
Critz,Aye,
Crowley,Aye,
Cuellar,Aye,
Culberson,Aye,
Cummings,No,
Davis (CA),Aye,
Davis (IL),No,
Davis (KY),Aye,
DeFazio,Aye,
DeGette,Aye,
DeLauro,Aye,
Denham,No,
Dent,Aye,
DesJarlais,Aye,
Deutch,No,
Diaz-Balart,No,
Dicks,Aye,
Dingell,No,
Doggett,Aye,
Dold,Aye,
Donnelly (IN),Aye,
Doyle,Aye,
Dreier,Aye,
Duffy,Aye,
Duncan (SC),Aye,
Duncan (TN),Aye,
Edwards,No,
Ellison,No,
Ellmers,Aye,
Emerson,Aye,
Engel,Aye,
Eshoo,No,
Farenthold,Aye,
Farr,No,
Fattah,Aye,
Filner,No,
Fincher,Aye,
Fitzpatrick,Aye,
Flake,Aye,
Fleischmann,Aye,
Fleming,Aye,
Flores,Aye,
Forbes,Aye,
Fortenberry,Aye,
Foxx,No,
Frank (MA),Aye,
Franks (AZ),Aye,
Frelinghuysen,No,
Fudge,Aye,
Gallegly,Aye,
Garamendi,No,
Gardner,Aye,
Garrett,Aye,
Gerlach,Aye,
Gibbs,Aye,
Gibson,Aye,
Giffords,Not Voting,
Gingrey (GA),Aye,
Gohmert,Not Voting,
Gonzalez,Not Voting,
Goodlatte,Aye,
Gosar,Aye,
Gowdy,Aye,
Granger,Aye,
Graves (GA),Aye,
Graves (MO),No,
Green, Al,No,
Green, Gene,Aye,
Griffin (AR),Aye,
Griffith (VA),Aye,
Grijalva,No,
Grimm,No,
Guinta,Aye,
Guthrie,Aye,
Gutierrez,No,
Hall,Aye,
Hanabusa,Aye,
Hanna,Aye,
Harper,Aye,
Harris,Aye,
Hartzler,Aye,
Hastings (FL),No,
Hastings (WA),No,
Hayworth,Aye,
Heck,Aye,
Heinrich,Aye,
Hensarling,Aye,
Herger,Aye,
Herrera Beutler,Aye,
Higgins,Aye,
Himes,No,
Hinchey,No,
Hinojosa,Aye,
Hirono,Aye,
Hochul,Aye,
Holden,Aye,
Holt,No,
Honda,No,
Hoyer,No,
Huelskamp,Aye,
Huizenga (MI),Aye,
Hultgren,Aye,
Hunter,Aye,
Hurt,Aye,
Inslee,Aye,
Israel,No,
Issa,Aye,
Jackson (IL),No,
Jackson Lee (TX),Aye,
Jenkins,Aye,
Johnson (GA),No,
Johnson (IL),No,
Johnson (OH),Aye,
Johnson, E. B.,Aye,
Johnson, Sam,Aye,
Jones,Aye,
Jordan,Aye,
Kaptur,Aye,
Keating,No,
Kelly,Aye,
Kildee,Aye,
Kind,Aye,
King (IA),Aye,
King (NY),Aye,
Kingston,Aye,
Kinzinger (IL),Aye,
Kissell,Aye,
Kline,Aye,
Kucinich,Aye,
Labrador,Aye,
Lamborn,Aye,
Lance,No,
Landry,Aye,
Langevin,Aye,
Lankford,Aye,
Larsen (WA),No,
Larson (CT),Aye,
Latham,Aye,
LaTourette,Aye,
Latta,Aye,
Lee (CA),Aye,
Levin,Aye,
Lewis (CA),Aye,
Lewis (GA),Aye,
Lipinski,Aye,
LoBiondo,Aye,
Loebsack,Aye,
Lofgren, Zoe,Aye,
Long,Aye,
Lowey,Aye,
Lucas,Not Voting,
Luetkemeyer,Aye,
Luján,Aye,
Lummis,Aye,
Lungren, Daniel E.,Aye,
Lynch,Aye,
Mack,Aye,
Maloney,Aye,
Manzullo,Not Voting,
Marchant,Aye,
Marino,Aye,
Markey,Aye,
Matheson,Aye,
Matsui,Aye,
McCarthy (CA),Aye,
McCarthy (NY),Aye,
McCaul,Aye,
McClintock,Aye,
McCollum,No,
McCotter,Aye,
McDermott,No,
McGovern,Aye,
McHenry,Aye,
McIntyre,Aye,
McKeon,Aye,
McKinley,Aye,
McMorris Rodgers,Aye,
McNerney,Aye,
Meehan,Aye,
Meeks,No,
Mica,Aye,
Michaud,Aye,
Miller (FL),Aye,
Miller (MI),Aye,
Miller (NC),Aye,
Miller, Gary,Aye,
Miller, George,No,
Moore,Aye,
Moran,No,
Mulvaney,Aye,
Murphy (CT),Aye,
Murphy (PA),Aye,
Myrick,Not Voting,
Nadler,No,
Napolitano,No,
Neal,No,
Neugebauer,Aye,
Noem,Aye,
Nugent,Aye,
Nunes,Aye,
Nunnelee,No,
Olson,Aye,
Olver,Aye,
Owens,No,
Palazzo,Aye,
Pallone,No,
Pascrell,Aye,
Pastor (AZ),No,
Paul,No,
Paulsen,Aye,
Payne,No,
Pearce,Aye,
Pelosi,Aye,
Pence,Aye,
Perlmutter,Aye,
Peters,Aye,
Peterson,No,
Petri,Aye,
Pingree (ME),Aye,
Pitts,Aye,
Platts,Aye,
Poe (TX),Aye,
Polis,Aye,
Pompeo,Aye,
Posey,Aye,
Price (GA),Aye,
Price (NC),Aye,
Quayle,Aye,
Quigley,No,
Rahall,Aye,
Rangel,Aye,
Reed,No,
Rehberg,Aye,
Reichert,Aye,
Renacci,Aye,
Reyes,Aye,
Ribble,Aye,
Richardson,No,
Richmond,No,
Rigell,Aye,
Rivera,No,
Roby,No,
Roe (TN),Aye,
Rogers (AL),No,
Rogers (KY),No,
Rogers (MI),Aye,
Rohrabacher,Aye,
Rokita,Aye,
Rooney,Aye,
Ros-Lehtinen,No,
Roskam,Aye,
Ross (AR),Aye,
Ross (FL),Aye,
Rothman (NJ),Aye,
Roybal-Allard,No,
Royce,Aye,
Runyan,Aye,
Ruppersberger,Aye,
Rush,Aye,
Ryan (OH),Aye,
Ryan (WI),Aye,
Sánchez, Linda T.,No,
Sanchez, Loretta,Aye,
Sarbanes,Aye,
Scalise,Aye,
Schakowsky,Aye,
Schiff,Aye,
Schilling,Aye,
Schmidt,Aye,
Schock,Aye,
Schrader,No,
Schwartz,Not Voting,
Schweikert,Aye,
Scott (SC),Aye,
Scott (VA),Aye,
Scott, Austin,Aye,
Scott, David,Aye,
Sensenbrenner,Aye,
Serrano,Aye,
Sessions,Aye,
Sewell,Aye,
Sherman,Aye,
Shimkus,Aye,
Shuler,Aye,
Shuster,Aye,
Simpson,Aye,
Sires,Aye,
Slaughter,Not Voting,
Smith (NE),No,
Smith (NJ),Aye,
Smith (TX),Aye,
Smith (WA),Aye,
Southerland,Aye,
Speier,Aye,
Stark,No,
Stearns,Aye,
Stivers,Aye,
Stutzman,Aye,
Sullivan,Aye,
Sutton,Aye,
Terry,No,
Thompson (CA),Aye,
Thompson (MS),No,
Thompson (PA),No,
Thornberry,Aye,
Tiberi,Aye,
Tierney,Not Voting,
Tipton,Aye,
Tonko,Aye,
Towns,No,
Tsongas,Aye,
Turner,Aye,
Upton,Aye,
Van Hollen,Aye,
Velázquez,Aye,
Visclosky,Aye,
Walberg,Aye,
Walden,Aye,
Walsh (IL),Aye,
Walz (MN),Not Voting,
Wasserman Schultz,Not Voting,
Waters,Aye,
Watt,Aye,
Waxman,No,
Webster,Aye,
Weiner,Aye,
Welch,Aye,
West,Aye,
Westmoreland,Aye,
Whitfield,Aye,
Wilson (FL),Aye,
Wilson (SC),Aye,
Wittman,No,
Wolf,No,
Womack,Aye,
Woodall,Aye,
Woolsey,No,
Wu,Aye,
Yarmuth,Aye,
Yoder,Aye,
Young (AK),Aye,
Young (FL),Aye,
Young (IN),Aye,
