Ackerman,No,
Adams,Aye,
Aderholt,No,
Akin,Aye,
Alexander,Aye,
Altmire,Aye,
Amash,Aye,
Andrews,Aye,
Austria,Aye,
Baca,Aye,
Bachmann,Aye,
Bachus,No,
Baldwin,Aye,
Barletta,No,
Barrow,Aye,
Bartlett,No,
Barton (TX),No,
Bass (CA),No,
Bass (NH),Aye,
Becerra,No,
Benishek,Aye,
Berg,No,
Berkley,Aye,
Berman,No,
Biggert,No,
Bilbray,Aye,
Bilirakis,Aye,
Bishop (GA),Aye,
Bishop (NY),No,
Bishop (UT),Aye,
Black,Aye,
Blackburn,Aye,
Blumenauer,Aye,
Bonner,Aye,
Bono Mack,No,
Boren,Aye,
Boswell,Aye,
Boustany,Aye,
Brady (PA),No,
Brady (TX),No,
Braley (IA),Aye,
Brooks,No,
Broun (GA),Aye,
Brown (FL),Aye,
Buchanan,Aye,
Bucshon,No,
Buerkle,Aye,
Burgess,No,
Burton (IN),Aye,
Butterfield,Aye,
Calvert,No,
Camp,Aye,
Campbell,Aye,
Canseco,Aye,
Cantor,No,
Capito,Aye,
Capps,Aye,
Capuano,No,
Cardoza,Aye,
Carnahan,Aye,
Carney,No,
Carson (IN),Aye,
Carter,No,
Cassidy,Aye,
Castor (FL),Aye,
Chabot,Aye,
Chaffetz,Not Voting,
Chandler,Aye,
Chu,No,
Cicilline,Aye,
Clarke (MI),Aye,
Clarke (NY),No,
Clay,Aye,
Cleaver,Aye,
Clyburn,Aye,
Coble,No,
Coffman (CO),Aye,
Cohen,Aye,
Cole,Aye,
Conaway,No,
Connolly (VA),No,
Conyers,No,
Cooper,Aye,
Costa,Aye,
Costello,Aye,
Courtney,Aye,
Cravaack,Aye,
Crawford,Aye,
Crenshaw,Aye,
Critz,Aye,
Crowley,No,
Cuellar,Aye,
Culberson,No,
Cummings,Aye,
Davis (CA),Aye,
Davis (IL),Aye,
Davis (KY),Aye,
DeFazio,Aye,
DeGette,Aye,
DeLauro,Aye,
Denham,Aye,
Dent,No,
DesJarlais,Aye,
Deutch,Aye,
Diaz-Balart,Aye,
Dicks,Aye,
Dingell,Aye,
Doggett,Aye,
Dold,No,
Donnelly (IN),Aye,
Doyle,Aye,
Dreier,No,
Duffy,No,
Duncan (SC),Aye,
Duncan (TN),Aye,
Edwards,Aye,
Ellison,Aye,
Ellmers,No,
Emerson,Aye,
Engel,No,
Eshoo,No,
Farenthold,Aye,
Farr,Aye,
Fattah,No,
Filner,Aye,
Fincher,Aye,
Fitzpatrick,No,
Flake,No,
Fleischmann,Aye,
Fleming,Aye,
Flores,No,
Forbes,Aye,
Fortenberry,Aye,
Foxx,No,
Frank (MA),No,
Franks (AZ),No,
Frelinghuysen,Not Voting,
Fudge,Aye,
Gallegly,Aye,
Garamendi,Aye,
Gardner,Aye,
Garrett,No,
Gerlach,No,
Gibbs,No,
Gibson,Aye,
Giffords,Not Voting,
Gingrey (GA),No,
Gohmert,Aye,
Gonzalez,Aye,
Goodlatte,Aye,
